internship_id,title,company,location,description,skills,domain,job_type,source
172,RN - Beavercreek - ICU - FT/Nights,,,"rn - beavercreek - icu - ft / nights - oh - beavercreek job d : 2023 - 43185 type : - time # opening : 11 category : register nurse soin medical center overview kettering health - - profit system 13 medical center 120 outpatient facility serve southwest ohio . commit transform health care experience high - quality care stage life . service - orient mission action day , provide care facility , train generation health care professional , serve international outreach . responsibility responsibilitie register nurse utilize nursing process provide nursing care patient setting collaboration health care providers.the rn accountable / professional development practice scope care define law.utilize organizational resource , rn act patient advocate delivery safe care include delegation care participation performance practice improvement activities.the delivery nursing care kettering health network reflect mission , vision , value , philosophy , organization nursing department qualification applicant : license state ohio registered nursegraduate accredited school nursing ( nln , acen , ccne ) new graduate nurse.bachelor science nursing prefer ( complete 5 year hire).a nurse return acute care setting year require provide evidence successful completion refresher course.bls certificationacls , nrp , pal determine unit scope practice qualification # pm21 new grad till notice 1/29 pi239294093",development,,job,Kaggle
173,Registered Nurse (RN),,,"signature healthcare hart county rehab & wellness center 104 - bed facility offer wide array short - term rehabilitation traditional long - term care . mission family - base organization revolutionize healthcare industry culture resident center healthcare service , personalize spirituality , real quality life initiative . signature healthcare family - base healthcare company offer integrated service 7 state continuum care : skilled nursing , rehabilitation , assisted living , memory care , home health , cognitive care , telemedicine . grow number center earn quality assurance accreditation pioneer person - direct care . skilled nursing facility achieve 4 5 - star overall rating center medicare & medicaid service . additionally , award certify great place work year row modern healthcare "" good place work ! "" overview seasoned rn look new home , new grad look start career , ? get great opportunity ! look rn candidate thrive deliver excellent care , enjoy strong team build bond lifetime ! come join serve purpose , build last relationship rewarding career . difference provide direct compassionate care patient resident maintain high degree quality . supervision day - - day activity perform assign nursing assistant . operate accordance federal , state , local standard , guideline regulation require director nursing . confirm nursing personnel assign comply write policy procedure establish facility . need difference possess active rn license state residence . current / active cpr certification . customer service orient ability work pressure . strong attention detail accuracy , excellent organizational skill ability prioritize , coordinate simultaneously maintain multiple . project high level quality productivity . excellent technical , assessment , documentation skill ability maintain confidentiality . exceptional benefit package signature perk include following ! medical , dental vision - voluntary life / disability401(k ) roth 401(k)pinnacle workforce development earn additional dollar raise yearshift differential weekend enhance hourly ratestuition forgiveness / education reimbursementuniform allowance ( seventy - dollar ) hire continuous allotmentpay advance day pay!paid time ( pto)reward & recognition program ( heart)vital link signature healthcare , team member permit - , encourage - employ talent ability solve problem . culture build distinct pillar : learning , spirituality intra - preneurship . pillar staff initiative , ensure unique culture permeate entire organization . come revolution ! signature healthcare equal opportunity - affirmative action employer - minority / female / disability / veteran protect category","development, technical","tech, healthcare, education",job,Kaggle
174,Senior Channel Marketing Manager or Channel Marketing Manager,,,"ready bring marketing experience idea life ? familiar , likely see product large retailer , - store online . pride action - orient base company core focus grow people business power inclusivity kindness . privately own inject mold plastic company design manufacture innovative home organization product storage tote shelf utilize green process superior engineering . american plastic grow company , having triple company size year expand production footprint county . growth , search channel marketing leader ready create differentiate marketing experience retail online customer . position remote reside bentonville , ar work hybrid reside near mooresville , nc sale office . grow marketing department look add key player round new team . senior / channel marketing manager , mass & club responsible execute marketing strategy lay director marketing develop channel specific campaign key retailer walmart , sam club , costco target american plastic . job responsibility : · create innovative omnichannel experience help drive awareness product visibility creative - site - site strategy , retail medium platform , social medium , influencer , store merchandising , webinar , . · ideate good - - class online content assign channel consumer research , market competitive analysis , industry trend adhere specific retailer brand guideline . · monitor track product content ensure accuracy maintain content score online specific retailer system , retail link . · leverage "" voice customer "" active engage weekly meeting overall business goal prioritize project internal external team . · act customer face marketing expert sam club walmart department merchant customer marketing brand team internal partner meeting , plrs , tradeshow . · manage , update , continuously improve online product detail page specific retailer system . · write new product copy utilize retailer specific seo keyword drive product discoverability meet specified content score . · develop channel specific marketing calendar track marketing activity , report metric benchmark . · lead retailer medium initiative support party agency sam club ( map ) walmart ( walmart connect ) include flight date , creative development , campaign setup , relationship management , budgeting , report . · lead - - market strategy new product launch include packaging , content development , bazaarvoice review seeding program walmart ( spark ) sam club ( star ) , . · create visually compelling sale enablement tool presentation deck , flyer , . · work closely product development team translate key selling feature benefit consumer facing language . · collaborate marketing manager graphic designer develop new brand , sub - brand , . · assist keep content library date internal external usage . · coordinate budget , resource , timeline necessary support marketing initiative . · perform duty responsibility request require . requirement · education – bachelor degree marketing · 7 - 10 + year marketing experience , preferably channel / customer marketing brand management large , fast pace matrixed environment . · 5 + year omnichannel experience consumer good lead digital marketing , content management , shopper marketing , merchandising , product management , brand management relate plus . · previous experience work mass retailer require , specifically walmart . · track record high - level collaboration sale team retail merchant . · persuasive communicator internal external buy - . · creative problem solver - attitude manage multiple project ease . · strong storyteller ability effectively communicate , orally write , collaborate people management level . · highly organized individual manage multiple project priority give deadline . · self - starter independently identify area opportunity . · track record consistently drive growth , create process , launch new capability , successfullymanage cross functional project team . · experience manage retailer specific system process , i.e .. map , retail link , item 360 , walmart connect , quickbase , scene 7 . · private brand management experience plus . · adept microsoft office proficiency powerpoint .","management, engineering, marketing, design, sales, development","education, business, retail, marketing, engineering, sales",job,Kaggle
175,Technical Business Analyst,,,"position describe . want apply , click apply button page . require create account sign exist . need help ? disability need assistance application , request reasonable accommodation . send email accessibility ( accommodation request ; inquiry will receive response ) . regular temporary : regular language fluency : english ( require ) work shift : 1st shift ( united states america ) review following job description : provide process , design analysis support develop solution interface business application . manage participate requirement elicitation process small medium work effort . provide project management small project business enhancement . essential duty responsibility follow summary essential function job . duty perform , major minor , mention . specific activity change time time . participate peer group tech line business ( lob ) identify , document communicate business need provide technology solution . work closely business stakeholder understand business process strategy . ensure stakeholder involve requirement gather activity . establish project work request requirement document , business process workflow analysis . plan , elicit , capture , analyze validate business , functional and/or technical requirement . participate facilitate requirement elicitation session walkthrough . perform current state analysis exist business system , application function . prepare user interface diagram , business process workflow diagram support small work request ( enhancement ) large scale project implementation . develop maintain effective working relationship business process owner stakeholder develop acceptance criterion plan facilitate user acceptance testing solution meet business requirement . attend project status meeting provide regular update project team regular presentation , status report meeting minute . develop understanding core system , application technical platform . observe strict adherence technology truist insurance holding policy standard ( e.g. system development life cycle ( sdlc ) , change management , etc ) . qualification require qualification : requirement list representative knowledge , skill and/or ability require . reasonable accommodation enable individual disability perform essential function . associate degree information technology - relate field , equivalent education related training year information technology experience significant experience software development year experience business analyst related role / experience , experience follow area : project management , business process management relationship management , business operation , quality management ability work independently member team experience traditional waterfall sdlc and/or agile / lean methodology work request / project requirement strong presentation , verbal write skill ability manage multiple concurrent project , activity task time constraint ability effectively interface staff level exceptional communication , teamwork influence skill foster collaborative continuous - improvement environment strong ability resolve conflict , excellent facilitation organizational skill strong critical analytical thinking problem - solve skill demonstrate proficiency basic computer application , microsoft office software product knowledgeable core business function , process workflow associate assign business area project . preferred qualification : : strong preference experience property casualty insurance industryproject management skill plus , minimally experience tracking keep project movingexperience api integrationexperience work multiple project timean understanding current trend technologyability read , analyze interpret technical dataproficient use microsoft visio job requirement / working condition sit constantly ( 50 % time ) stand occasionally ( 25 % time ) walk occasionally ( 25 % time ) visual / audio / speak able access interpret client information receive computer able hear speak individual person phone . manual dexterity / keyboarding able work standard office equipment , include pc keyboard mouse , copy / fax machine , printer . availability able work hour schedule , include overtime direct manager / supervisor require business need . general description available benefit eligible employee truist financial corporation : regular teammate ( temporary contingent worker ) work 20 hour week eligible benefit , eligibility specific benefit determine division truist offer position . truist offer medical , dental , vision , life insurance , disability , accidental death dismemberment , tax - prefer saving account , 401k plan teammate . teammate receive 10 day vacation ( prorate base date hire - time - time status ) year employment , 10 sick day ( prorate ) , pay holiday . detail truist generous benefit plan , visit benefit site . depend position division , job eligible truist define benefit pension plan , restrict stock unit , and/or deferred compensation plan . advance hiring process , learn specific benefit available non - temporary position apply , base - time - time status , position , division work . position tih . truist financial corporation reach agreement sell remain stake truist insurance holding ( tih ) . result , tih separate company truist bank legal day 1 ( date tbd ) . refer news release detail . insurance position tih "" tih "" note job post indicate truist . mcgriff insurance service support diverse workforce equal opportunity employer discriminate individual basis race , gender , color , religion , citizenship national origin , age , sexual orientation , gender identity , disability , veteran status classification protect law . mcgriff insurance service drug free workplace . eeo law pay transparency nondiscrimination provision e - verify","management, design, software, development, communication, technical","tech, legal, business, education",job,Kaggle
176,Lead Controls Engineer,,,"title : automation engineering team leadlocation : bolingbrook , ilsalary : $ 125k-$130k / yeartravel : responsibility : manage automation engineer me developerslead troubleshooting problem - solve manufacturing processdrive advancement manufacturing method growth cost savingsensure timely project completion maintain expertise plant - wide processeshire , train , mentor staff maintain quality metricsqualification : bachelor degree electrical/ computer/ mechanical engineering8 + year engineering experience production automationexperience plc hmi programming3 + project management experience ( preferred)knowledge cad / cam sigma ( preferred ) qualified applicant receive consideration employment regard race , color , age , religion , sex , sexual orientation , gender identity , national origin , disability , protect veteran status , genetic information .","management, engineering, automation","engineering, business, manufacturing",job,Kaggle
177,Senior Product Manager,,,"role : sr product manager remote exp : 12+yr require skill : look somebody super technical . blend technical plus strategy . strong product background 6 + year experience product manager / product owner saas - base product 2 - 3 year android ios app product management experience fintech background experience manage strategy enhancement financial mobile application customer - orient mindset , excelling product champion internally customer innate ability interact market - talk prospect , build relationship customer , understand current market need future trend , assess competitor , research , analyze market intelligence familiarity database management deployment encourage strong understanding lean product management , agile sdlc methodology good practice knowledge technical industry trend drive innovation highly analytical , data - drive mindset ; hold self accountable roi - orient kpis insightful thoughtful questioning , offer new idea solution passion solve customer problem , creative thinking experience launch software service development team high degree proficiency prototyping iterative development discipline comfort ambiguity complexity excellent communication skill learn mindset commit continuous improvement","management, software, development, communication, technical","tech, business",job,Kaggle
178,Technical Writer,,,"require skill : year experience influential technical writerproven ability quickly learn understand complex subject matterexperience write documentation procedure manual audience , embed system experience preferred.superb write communication skill , keen eye detailexperience work engineer improve user experience ( ex , design , ui ) , refine content , create visual diagram technical support content.ability handle multiple project simultaneously . prefer skill : firm understanding sdlc ( system development lifecycle)previous experience software development , preferably embed system , medium player , soundbar , smart tv technologies.ability understand development cycle , read architectural diagram , understand apis different library , consolidate process flow summary technical documentsprofessional certification ( ex : society technical communication)experience xml tool create documentation education : bachelor master s degree computer science , computer electrical engineering , mathematic , related field . offer exciting project : come place forefront digital transformation ! client industry sector , offer opportunity work market - define product late technology . collaborative environment : expand skill collaborate diverse team highly talented people open , laidback environment — abroad global center client facility ! work - life balance : globallogic prioritize work - life balance , offer flexible work schedule opportunity work home . professional development : provide continue education class , professional certification training ( technical , soft skill , language , communication skill ) help realize professional goal . global organization , additional learn opportunity international knowledge exchange . excellent benefit : provide employee competitive salary , health life insurance , short - term long - term disability insurance , match contribution 401k plan , flexible spending account , pto holiday . globallogic : globallogic leader digital engineering . help brand globe design build innovative product , platform , digital experience modern world . integrate experience design , complex engineering , data expertise — help client imagine possible , accelerate transition tomorrow digital business . headquarter silicon valley , globallogic operate design studio engineering center world , extend deep expertise customer automotive , communication , financial service , healthcare life science , manufacturing , medium entertainment , semiconductor , technology industry . globallogic hitachi group company operate hitachi , ltd . ( tse : 6501 ) contribute sustainable society high quality life drive innovation datum technology social innovation business .","engineering, design, software, development, communication, technical","education, healthcare, manufacturing, tech, engineering",job,Kaggle
179,Engineer/Mechanic,,,"madison square garden entertainment corp . ( msg entertainment ) leader live entertainment , deliver unforgettable experience forge deep connection diverse passionate audience . company portfolio include collection world - renowne venue – new york madison square garden , theater madison square garden , radio city music hall , beacon theatre ; chicago theatre – showcase broad array sporting event , concert , family show , special event million guest annually . addition , company feature original production , christmas spectacular star radio city rockette , holiday tradition 90 year . information available www.msgentertainment.com . hire ? engineer / mechanic work engineering department perform repair maintenance mechanical equipment answer service call event . repair include plumbing , hvac r mechanical repair require . engineer / mechanic perform preventive maintenance equipment record reading critical equipment . ? engineer / mechanic familiar service repair complex hvac system similar fhp , trane , aaon liebert system newly instal building . need service minor repair refrigeration system hoshizaki , traulsen , perlick , bally viking system building . function engineer / mechanic perform plumbing repair routine repair facility . position require mechanic accountable work work independently team . position , time , require unscheduled overtime cover watch event . need succeed ? position perform repair , pm inspection hvac refrigeration system maintain inventory spare part / material . applicant possess fdny c q refrigeration engineer c f need perform duty mechanic msg.this position call work area engineering department need watch coverage , fire guard work engineering project operational need dictate . special requirement able walk stand entire shift . lifting , push , pull 25 lbs . ability work flexible schedule include night , split day , work weekend holiday 24 x 7 environment . onsite hourly pay range $ 46.37—$46.37 usd msg , recognize importance upskille employee ’ talent strength drive career forward . proud offer robust set tool resource help employee understand interest purpose , harnes talent obtain skill need reach step career . growth longevity employee priority . value diversity look extraordinary employee background ! msg equal opportunity employer provide equal employment opportunity employee applicant employment regard race , color , religion , gender , sexual orientation , gender identity expression , sexual reproductive health choice , national origin , citizenship , age , genetic information , disability , veteran status . addition federal law mandate , msg complie applicable state local law govern nondiscrimination location consider request reasonable accommodation require .","aws, engineering","engineering, tech",job,Kaggle
180,Supervisor/Manager Part-Time Kings Plaza,,,"claire - career style - time manager/3rd key holder opportunity role 3rd keyholder claire , responsible : support store manager assistant store manager achievement retail store target drive salesin absence management open close store responsible point ensure store trade safely legallydelivere sale friendly efficient customer serviceensure customer fun enjoyable shopping experiencedemonstrate claires productsassiste customer query product knowledgeassiste processing store delivery , visual merchandising , stock take , markdown promotionsear pierce ( receive training)ensure store look presentable invite customer claire lead high street fashion retailer +3000 store globallywe specialize fashionable jewelry , accessory cosmetic productsour core customer range child young woman . accommodate customer ' mood , attitude style , include : feminine pretty , unique / individual late catwalk trendswe fun place work ! encourage store member wear productwe encourage support development ! committed , ambitious willing learn provide skill need grow company ! qualification - external high school requiredminimum 1 year retail experienceexcellent verbal / write communication organizational skillsbasic computer skillsunderstand importance customer servicesound understanding mathematic strong reading comprehension skillsability stand scheduled shiftsability maneuver 25 lbs regularly 75 lbs occasionallybending , stoop , extended reaching , climb ladder step stool place merchandise store assist customersability operate pos system claire equal opportunity employer commit diversity , equity inclusion encourage application member represent group , include disability . accommodate applicant ' need , request , stage recruitment process . inform accommodation(s ) require . information receive relate accommodation address confidentially . request accommodation , email benefits@claires.com . message send purpose consider . claire equal opportunity employer commit diversity , equity inclusion encourage application member underrepresented group , include disability . accommodate applicant ' need , request , stage recruitment process . inform accommodation(s ) require .","management, sales, development, communication","sales, business, legal, retail",job,Kaggle
181,SAP Functional Test Manager/ Coordinator,,,"role description sap functional test manager/ coordinator lead - enterprise solution bear digital , ust transform live power technology . walk alongside client partner , embed innovation agility . help create transformative experience human - center solution well world . ust mission - drive group 39,000 + practical problem solver creative thinker 30 + country . entrepreneurial team empower innovate , act nimbly , create lasting sustainable impact client , customer , community live . , create boundless impact transform career — life people world . visit ust.com . ust search sap functional test manager/ coordinator supervision senior lead , analyze develop application assign area responsibility erp / crm system , design solution . opportunity define global , regional local test case , test plan , test datum test prerequisite deployment end - - end test workstream execution global , regional & local test & document accord system specific framework sap solution manager follow methodology compliance coordination testing activity potentially external partner require , require defect management handling within- potentially stream ensure testing activity perform accordance project plan / schedule setup proper status report test execution create visibility progress test management team stakeholder . cooperation different region support critical situation ensure bottleneck cover project timeline meet . position description identify responsibility task typically associate performance position . relevant essential function require . need sap system end user experience ( r3 / s4 hana ) . sap solution manager testing tool experience advantage . ability analyze , design , describe & test solution e2e business process understanding . vast knowledge process - base / cross - process system ( erp decentralized system ) respective application . experience master datum , reporting analytic area . 3 - 5 year relate business experience equivalent project management skill sap functional area . broad knowledge business process , policy program . excellent write verbal communication skill english . position require excellent problem solve analytical skill resolve variety routine complex issue describe business requirement accordingly . strong stakeholder management , communication change management skill . outstanding customer service interpersonal skill . believe proud embrace value shape ust beginning . day , build endure relationship culture integrity . today , value inspire encourage innovation champion diversity inclusion , place people center . humility listen , learn , empathetic help selflessly interaction . humanity business , better life fortunate . integrity honor commitment act responsibility relationship . equal employment opportunity statement ust equal opportunity employer . qualified applicant receive consideration employment regard race , color , religion , sex , sexual orientation , gender identity , national origin , disability , status protect veteran . ust reserve right periodically redefine role responsibility base requirement organization and/or performance . # ust skill sap solution manager , sap master data , sap system end user experience , test manager","management, design, communication","tech, business",job,Kaggle
182,Business Development Specialist,,,"general description : business development unit ( bdu ) specialist primarily responsible focus support premier national agency relationship ( client ) develop assign sale management . position focus growing development new business initiative , include limit provide transactional , administrative technical support processing . bdu specialist responsible support bdu management community evaluation , book roll processing , new business review , relationship development , troubleshoot rate difference , error correction , transactional support processing instruct level authority assign . assist team project instruct necessary maintain high level quality timely business development pre - sale support team member standard . essential duty responsibility : foster relationship key stakeholder internally externally , especially target national ' high volume ' production account . read , analyze , follow procedure , maintain transactional documentation . solve practical problem deal variety variable , refer supervisor need . report discrepancie procedure policy detail management , necessary . maintain positive market image focus action new business customer satisfaction . follow variety instruction furnish write , oral , diagram form . accept , acknowledge , process new business related endorsement documentation level authority designate bdu . index route bdu inbound document , fax , email transaction image system . understand overall departmental support objective maintain willingness execute bdu strategy achieve goal role . provide support need community analysis process . support maintain strong work relationship high profile / high production distribution partner target large - scale production . process , effectively accurately , target new business production , book roll , specialize new business opportunity high - volume environment . perform duty assign . supplementary information job description prepare indicate general nature level work employee perform classification . description interpret inventory duty , task , responsibility qualification require employee assign job . education / experience : high school diploma equivalent . college post - secondary training business operation insurance prefer . minimum ( 5 ) year related experience and/or training . work knowledge guidewire platform . detail - orient possess good interpersonal problem - solve skill . flexible able adapt change business environment . ability keyboard enter speed 50 wpm . basic knowledge understanding microsoft office suite . willing work flexible schedule support multiple time zone . willing travel client meeting training purpose . possess strong communication , organizational teamwork skill . license / certification : 2 - 20 440 license prefer .","management, design, sales, development, communication, technical","tech, business, education, sales",job,Kaggle
183,Project Manager - District Services,,,"overview project manager - district services - frisco , tx westwood professional service , inc . westwood professional service , inc . seek fill open project manager position district service team frisco , texas office . team look detail task - orient self - starter , organize comfortable work team environment public setting . individual need comfortable work fast - pace environment multiple deadline , manage multiple task simultaneously , organize task priority long lead time , able communicate professionally wide range client . duty responsibility request quote contractor variety construction project range small large scale complete thorough quantity - off bluebeam construction bid tabulation ; prepare send shortform contract excel template contractor timely follow - up ; prepare recommendation award notice proceed letter ; process contractor pay application change order ; keep file organize exist filing structure ; datum entry excel ; preparation engineering report monthly board meeting ; attend board meeting ; perform pre - bid pre - construction meeting online and/or person ; travel job site project great dfw area ; walk construction phase district inspector ; collaborate construction inspector ( westwood city inspector ) ; prepare engineering report entitlement process ; prepare feasibility study entitlement process ; prepare project cost estimate feasibility study ; compensation position competitive determine base candidate experience , skill , qualification . additionally , bonus - eligible position , offer potential financial recognition base performance company success . require skill excel experience ( moderate expert level ) microsoft word experience bluebeam experience ( moderate preferred , require ) autocad ( prefer , require ) - speak comfortable presenting address client public setting ( board director / supervisor ) , district consultant ( attorney , financial advisor , bookkeeper , auditor ) , public official , resident , hoas , etc . knowledge construction practice knowledge engineering design ( eit , pe prefer , require ) require experience graduate accredited university college bachelor degree civil engineering ( experience degree discipline substitute management discretion ) . prefer experience 3 - 5 year engineering experience prefer westwood professional services , inc . ( westwood ) westwood , purpose create well world people work . transform energy grid , design resilient infrastructure , develop community flourish today future generation . 50 year experience legacy innovation , stand forefront industry , dedicate understand unique need market serve . approach revolve people . commit build culture attract , retain , develop high performer . team value relationship , innovation , dedication , initiative , growth . believe foster collaborative "" team "" mentality yield superior outcome . customize technical capability geographic reach meet client help realize vision . partner client ' success , drive provide solution last difference . safety , sustainability , operational excellence facet work ; intrinsic identity , guide decision . deeply invest community serve . project give - initiative , enrich life serve , engage industry , create lasting impact community world . , success transcend completion project ; reflect life positively impact work . join create well world . 2023 , zweig group rank westwood nationally # 12 # 30 , respectively , hot firm good firm work list . zweig award westwood national 2nd place award marketing excellence . westwood recently recognize # 79 enr 500 firm 2023 . firm consistently rank industry 25 list receive recognition involvement award - win project nationwide . westwood provide equal employment opportunity employee applicant employment prohibit discrimination harassment type regard race , color , religion , age , sex , national origin , disability status , genetic , protect veteran status , sexual orientation , gender identity expression , characteristic protect federal , state , local law . believe diverse background strengthen business . policy apply term condition employment , include recruiting , hiring , placement , promotion , termination , layoff , recall , transfer , leave absence , compensation , training .","aws, management, engineering, marketing, design, technical","business, construction, marketing, tech, engineering",job,Kaggle
184,Part Time Retail Merchandiser - Altamonte Springs FL 32701,,,"join hallmark - time retail merchandiser altamonte spring , fl ! opportunity represent world well - know greeting card brand play crucial role merchandising , create , building display territory positive shopper experience . offer work life integration work week , support business need . require service store base scheduling tool provide . offer pay : training , travel time , mileage reimbursement . ready mark ? job overview retail merchandiser , opportunity work independently showcase organization time management skill , ability establish retailer relationship , face hallmark . collaborate local store team optimize product placement maintain inventory level support fellow team member seasonal reset installation , need . occasion hallmark ask service vendor product store assign . case , provide detailed instruction additional budget time . learn role , click watch retail merchandiser action . salary shift detail starting pay $ 13.00 - $ 15.00 depend shift location.this - time position variable schedule work week.weekly hour position 12 – 15 hour weekavailability week major holiday , include weekend require . role responsibility include perform service work hallmark department retail store grocery store , drug store , department store , mass retailer . retail merchandiser position consist major component : day - - day engagement : responsible entire hallmark product display assign store . utilize mobile device provide hallmark , restock , organize , monitor inventory hallmark product outside hallmark department . mobile device communication supervisor , reporting time , provide feedback , answer survey require merchandising activity . professional courteous interaction store employee , management , customer vital success role.holiday support : hallmark operation revolve seasonal demand . lead follow holiday valentine day , easter , mother day , father day , halloween , thanksgiving , christmas , expect additional day extend hour work week . occasion like valentine day , mother day , father day , require work actual holiday , include weekend.department reset : time , team responsible installation task like build instal hallmark fixture , relocate card department product , resetting card section . typically , notify week advance remodel assignment . include evening weekend.one team vision : field organization assign specific responsibility additional work installation effort ask require support . physical requirement physically demanding job require high level energy sense urgency . work sell floor stockroom . able consistently push , pull , lift , carry carton , merchandise , display fixture 30 pound workday 50 pound occasion . require stoop , squat , walk , stand workday , require climb stair step ladder . basic qualification 18 year age.you're able read , write understand english.you ability grasp , pull , lift , carry product 30 pound frequently 50 pound occasionally.able operate hand - hold technology provide open read document interpret information.you access wi - fi network internet.you reliable transportation report assign location . prior apply , click watch retail merchandiser work . chance mark — follow instruction apply . meet basic qualification resume document upload , complete work experience education application field . accept file type docx pdf . - time employee work schedule 30 hour access variety voluntary benefit ; include dental , vision , critical illness , accident insurance , hospital indemnity minimum essential coverage ( preventive care ) . location / division : altamonte spring , fl , usa job requisition 5c1ae0b9 - 77a5 - 423a - bedf-22c209353c0d","management, communication, installation","tech, business, education, retail",job,Kaggle
185,Software Engineer/Sr. Software Engineer,,,"software engineer / sr . software engineer location : torrance , californiaemployment type : - timeus citizenship require position responsibility : · develop , document , maintain architecture , requirement , algorithm , interface , design hardware system . · work programming c c++ hardware , circuit analysis , microelectronic , computer architecture , real - time operating system expertise . · develop firmware / software verification plan , test procedure , test environment , execute test procedure , document test result ensure software system requirement meet . · serve subject matter expert control software domain , related industry standard , system - specific issue , process , regulations.basic ( require ) qualification : · bachelor master degree accredited course study electrical engineering , software engineering , computer science , technical degree · 5 year experience work gui base desktop environment . · 5 year firmware and/or embed software development experience collaborative team environment agile principle structured development process , include code review and/or automate devop process / tool . · experience c , c++ , java , shell , perl , and/or python.preferre ( desire ) qualification · familiarity usb , spi , i2c , etc . protocol , microcontroller programming , knowledge ftdi interface . · experience rehoste , debugging , validate code · expertise electronic hardware programming gui development · familiarity fpga signal processing plus.experience level : individual contributor benefit : health welfare plan ( include medical , dental , vision , life , disability , prescription drug coverage).retirement program ( 401k).paid vacation : 80 hour annuallypaid sick day : 48 hour annuallypaid personal day : day year servicepaid holiday : 7 pay company holiday annually","python, java, engineering, design, software, development, technical","tech, engineering",job,Kaggle
186,NYC Only / Must have school environment experience / Middle School Facilities Manager,,,"school system manhattan look facility management experience manage team staff middle school . role involve manage team custodian , engineer , contractor maintenance , cleaning , new project school . look manage similar team , specific experience work school environment . requirement experience work school environment 5 + year experience manage daily maintenance repair thing like hvac , plumbing , heating , electric experience manage team coordinate facility project thing clearly list resume , likely call ! benefit 401k plan match strong insurance package ; medical , dental vision etc strong pto package additional sick time ! post : maxwell everson",management,business,job,Kaggle
187,Trailblazer Operator,,,"position description work harris county precinct 4 : surround team member bring "" heart , hustle , high standard "" work day . leader advance opportunity justice deliver service advocate resident harris county . team join innovative , dynamic , forward - look . harris county precinct 4 ( hcp4 ) harris county precinct 4 seek individual oversee planning implementation trail construction project anchor park development project greenway . use heavy equipment remove trees/ brush , regrade land , plotting , digging , lie asphalt safely , productively , efficiently . require work time team heavy equipment operator . construction management skill , class cdl , survey experience and/or ability read interpret engineer plan major indicator candidate ability job applicant need skill apply . job duty responsibility : duty list intend illustration type work perform . duty assign deem appropriate . define scope project collaboration park director park superintendent . determine resource ( time equipment ) require complete project . develop schedule project completion effectively allocate resource activity . monitor progress project adjustment necessary ensure completion project . review quality work complete project team regular basis ensure meet project standard . utilize heavy equipment prepare clear land . proficiently operate core equipment include limit dozer , compactor , excavator , loader , grader , asphalt lay machine , roller , tractor , forestry mower . follow site grading operation plan , read grade stake operate medium fine grade environment . build level excavate land surface grader construction equipment . gather load dirt waste product job site truck . drive loaded tandem rig dump truck trailer heavy equipment . operate small engine equipment chain saw , 4 - wheel atv , cement mixer , jackhammer . require work , , emergency disaster department discretion . harris county equal opportunity employer https://hrrm.harriscountytx.gov/pages/equalemploymentopportunityplan.aspx need special service accommodation , ( 713 ) 274 - 5445 email adacoordinator@bmd.hctx.net requirement education : high school diploma general education degree ( ge ) experience : ( 5 ) year hand - heavy equipment operator ' experience.experience operate variety equipment . verifiable work experience asphalt . licensure : valid texas driver license good driving record knowledge , skill ability : ability drive truck trailer . good observation skill . flexible ; willing able adapt variety workplace situation . basic understanding microsoft office product ability read , comprehend follow direction require . good organizational skill . general knowledge variety construction trades/ handyman . honest , trustworthy , demonstrate sound work ethic . ability effectively read interpret engineering blueprint highly desire . note : qualify education , experience , knowledge , skill document job application . attach resume application support documentation information state application consideration . "" resume "" accept qualification . general information position type , salary typical hour work : regular | - time | 40 hour week include weekend holiday . physical demand work environment : physical demand describe representative meet employee successfully perform essential function job . reasonable accommodation enable individual disability perform essential function . perform duty job , employee regularly require stand ; walk ; use hand finger , handle , feel object , tool , control ; reach hand arm ; climb balance ; stoop , kneel , crouch , crawl . employee occasionally require sit , talk hear , taste smell . perform duty job , employee regularly require stand ; walk ; use hand finger , handle , feel reach hand arm . employee frequently require sit ; climb balance ; stoop , kneel , crouch , crawl ; talk hear taste smell . employee regularly lift /or 40 pound , frequently lift and/or 80 pound . specific vision ability require job include close vision , distance vision , color vision , peripheral vision , depth perception ability adjust focus . return : surround team member bring "" heart , hustle , high standard "" work day . leader advance opportunity justice deliver service advocate resident harris county . team join innovative , dynamic , forward - look . feature benefit : harris county employee receive competitive salary plus medical , dental , vision insurance cost employee month - time continue employment . vacation , sick - time , float holiday allow employee recharge balance work personal time . mandatory participation retirement program allow employee save retirement . benefit discount lead satisfaction engagement employee . apply : job sound interesting , meet require qualification , work precinct 4 trailblazer operator , invite apply online . employment contingent pass background check drug screen . high volume application position close prior advertise closing date discretion hire department .","aws, management, engineering, development","education, business, construction, tech, engineering",job,Kaggle
